Day of Created At,Id,Type,Teams Count
"11 February, 2017",973,student,0
"11 February, 2017",974,student,0
"11 February, 2017",975,student,0
"11 February, 2017",976,student,0
"11 February, 2017",977,student,0
"11 February, 2017",978,student,0
"11 February, 2017",979,student,0
"11 February, 2017",980,student,0
"11 February, 2017",981,student,0
"11 February, 2017",982,student,0
"11 February, 2017",983,student,0
"11 February, 2017",984,student,0
"11 February, 2017",987,student,0
"11 February, 2017",988,student,0
"11 February, 2017",990,student,0
"11 February, 2017",991,student,0
"11 February, 2017",992,student,0
"11 February, 2017",993,student,0
"11 February, 2017",995,student,0
"11 February, 2017",996,student,0
"11 February, 2017",997,student,3
"11 February, 2017",998,student,0
"11 February, 2017",999,student,0
"11 February, 2017",1000,student,1
"11 February, 2017",1001,student,1
"11 February, 2017",1002,student,0
"11 February, 2017",1003,student,0
"11 February, 2017",1004,student,0
"11 February, 2017",1005,student,0
"11 February, 2017",1007,student,0
"11 February, 2017",1008,student,0
"11 February, 2017",1009,student,0
"11 February, 2017",1011,student,0
"11 February, 2017",1013,student,0
"11 February, 2017",1014,student,0
"11 February, 2017",1017,student,4
"11 February, 2017",1018,student,0
"11 February, 2017",1019,student,0
"11 February, 2017",1020,student,0
"11 February, 2017",1021,student,0
"11 February, 2017",1022,student,0
"11 February, 2017",1023,student,0
"11 February, 2017",1024,student,0
"11 February, 2017",1026,student,0
"11 February, 2017",1027,student,0
"11 February, 2017",1028,student,2
"11 February, 2017",1029,student,0
"11 February, 2017",1030,student,0
"11 February, 2017",1032,student,0
"11 February, 2017",1033,student,1
"11 February, 2017",1034,student,0
"11 February, 2017",1035,student,0
"11 February, 2017",1036,student,0
"11 February, 2017",1038,student,0
"11 February, 2017",1039,student,1
"11 February, 2017",1041,student,0
"11 February, 2017",1042,student,0
"11 February, 2017",1043,student,0
"11 February, 2017",1045,student,0
"11 February, 2017",1046,student,0
"11 February, 2017",1047,student,2
"11 February, 2017",1048,student,0
"11 February, 2017",1049,student,0
"11 February, 2017",1050,student,0
"11 February, 2017",1051,student,0
"11 February, 2017",1052,student,0
"11 February, 2017",1053,student,0
"11 February, 2017",1054,student,0
"11 February, 2017",1056,student,0
"11 February, 2017",1057,student,0
"11 February, 2017",1058,student,0
"11 February, 2017",1059,student,2
"11 February, 2017",1060,student,0
"11 February, 2017",1061,student,1
"11 February, 2017",1062,student,0
"11 February, 2017",1063,student,0
"11 February, 2017",1064,student,1
"11 February, 2017",1065,student,0
"11 February, 2017",1067,student,3
"11 February, 2017",1069,student,1
"11 February, 2017",1070,student,3
"11 February, 2017",1071,student,0
"11 February, 2017",1072,student,0
"11 February, 2017",1074,student,0
"11 February, 2017",1075,student,0
"11 February, 2017",1076,student,0
"11 February, 2017",1079,student,0
"11 February, 2017",1080,student,0
"11 February, 2017",1083,student,0
"11 February, 2017",1085,student,0
"11 February, 2017",1087,student,1
"11 February, 2017",1088,student,0
"11 February, 2017",1089,student,2
"11 February, 2017",1091,student,0
"11 February, 2017",1092,student,0
"11 February, 2017",1093,student,0
"11 February, 2017",1094,student,1
"11 February, 2017",1095,student,0
"11 February, 2017",1099,student,0
"11 February, 2017",1100,student,0
"11 February, 2017",1101,student,1
"11 February, 2017",1103,student,0
"11 February, 2017",1105,student,0
"11 February, 2017",1106,student,0
"11 February, 2017",1107,student,0
"11 February, 2017",1108,student,0
"11 February, 2017",1110,student,0
"11 February, 2017",1112,student,0
"11 February, 2017",1113,student,0
"11 February, 2017",1114,student,0
"11 February, 2017",1115,student,0
"11 February, 2017",1116,student,0
"11 February, 2017",1117,student,0
"11 February, 2017",1118,student,0
"11 February, 2017",1119,student,0
"11 February, 2017",1120,student,0
"11 February, 2017",1121,student,0
"11 February, 2017",1122,student,0
"11 February, 2017",1123,student,0
"11 February, 2017",1124,student,0
"11 February, 2017",1125,student,0
"11 February, 2017",1127,student,0
"11 February, 2017",1128,student,0
"11 February, 2017",1129,student,0
"11 February, 2017",1130,student,0
"11 February, 2017",1131,student,0
"11 February, 2017",1132,student,0
"11 February, 2017",1133,student,0
"11 February, 2017",1134,student,0
"11 February, 2017",1137,student,0
"11 February, 2017",1138,student,0
"11 February, 2017",1139,student,0
